Tamanho da Matriz,Tempo Distribuído (s),Tempo Local (s)
100,0.008705854415893555,0.0009140968322753906
150,0.005103111267089844,0.003131866455078125
200,0.007018327713012695,0.007913827896118164
250,0.02428603172302246,0.009871959686279297
300,0.01865696907043457,0.021151304244995117
350,0.021886587142944336,0.039122819900512695
400,0.044005393981933594,0.047638654708862305
450,0.06830739974975586,0.06124424934387207
500,0.07181429862976074,0.09479188919067383
550,0.10426092147827148,0.14862418174743652
